CO_IES,Instituicao,CO_CATEGAD,CO_CURSO,NO_CURSO,Municipio,UF,TP_SEXO,NU_IDADE,QE_I01,QE_I02,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,NT_GER
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,27,A,D,D,D,B,D,C,B,A,A,A,A,A,D,A,A,A,C,A,A,D,A,E,A,45.2
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,22,A,B,B,D,B,E,C,C,A,A,A,B,D,A,A,B,F,K,A,B,B,A,H,F,48.4
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,27,A,A,E,E,B,E,A,B,B,A,A,A,A,A,B,A,A,B,A,A,A,E,H,I,55.5
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,32,A,B,D,D,B,F,E,C,B,A,A,A,A,B,B,A,B,A,A,A,A,A,E,A,23.5
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,A,B,D,C,B,C,A,B,A,A,A,E,B,B,A,A,B,G,A,C,E,E,E,F,54.3
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,24,A,A,E,E,B,F,F,D,E,A,A,C,A,A,B,A,B,A,A,E,E,A,B,A,55.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,A,E,D,D,B,D,B,A,A,A,A,B,B,D,A,A,B,A,B,C,C,A,A,A,43.2
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,A,D,D,D,B,D,B,B,B,A,A,B,A,B,A,A,A,C,B,E,C,C,E,F,40.1
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,27,A,A,D,D,B,C,E,B,A,A,A,A,A,A,B,A,B,C,A,A,B,E,A,F,53.1
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,27,B,A,D,D,C,D,A,B,A,A,A,B,A,A,B,A,B,C,A,C,E,A,E,A,45.1
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,24,A,A,D,F,B,D,E,C,E,A,A,E,C,A,B,A,B,A,A,B,C,A,A,F,49.1
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,26,A,D,E,E,B,F,E,E,A,A,A,E,B,D,A,B,A,A,A,C,C,A,H,C,44.9
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,A,A,D,D,B,C,C,C,A,A,A,E,B,A,A,A,B,A,A,E,D,A,A,F,42.4
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,30,A,B,F,D,B,D,F,E,E,A,A,B,A,A,B,A,B,K,A,A,C,E,E,F,55.7
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,28,A,D,E,F,D,D,C,E,E,A,E,A,A,E,B,A,B,B,A,B,C,C,B,I,44.1
